time,dcBusVoltage
143.355, 111
143.463, 111
143.569, 110.8999939
143.676, 110.8999939
143.788, 110.8999939
143.894, 110.6999969
144, 110.6999969
144.107, 110.6999969
144.219, 110.6999969
144.328, 110.5999985
144.435, 110.5999985
144.544, 110.5
144.651, 110.5
144.761, 110.3999939
144.87, 110.2999954
144.979, 110.2999954
145.086, 110.1999969
145.197, 110.1999969
145.309, 110.0999985
145.415, 110.0999985
145.522, 110
145.628, 110
145.738, 110
145.847, 110.0999985
145.957, 110.2999954
146.063, 110.2999954
146.17, 110.3999939
146.279, 110.5
146.391, 110.5999985
146.495, 110.6999969
146.601, 110.7999954
146.708, 110.7999954
146.818, 110.8999939
146.924, 111
147.031, 111.0999985
147.14, 111.2999954
147.246, 111.2999954
147.353, 111.5999985
147.462, 111.5999985
147.572, 111.7999954
147.678, 111.6999969
147.785, 111.6999969
147.892, 111.6999969
147.998, 111.8999939
148.108, 111.8999939
148.217, 111.7999954
148.324, 111.8999939
148.428, 111.8999939
148.537, 111.8999939
148.647, 112
148.755, 112
148.867, 112
148.974, 112.1999969
149.084, 112.2999954
149.19, 112.3999939
149.3, 113
149.409, 113.5
149.516, 113.7999954
149.625, 113.7999954
149.737, 113.7999954
149.846, 113.6999969
149.955, 114.1999969
150.062, 115.0999985
150.171, 116.5999985
150.278, 117.2999954
150.388, 117.6999969
150.498, 118
150.604, 118
150.716, 118
150.825, 117.7999954
150.935, 117.2999954
151.041, 117
151.148, 116.9000015
151.257, 116.4000015
151.366, 116.2999954
151.473, 116.1999969
151.579, 116.2999954
151.686, 116.4000015
151.795, 116.7999954
151.899, 116.7999954
152.003, 116.4000015
152.107, 116.1999969
152.217, 115.6999969
152.309, 115.6999969
152.415, 115.5999985
152.506, 115.3999939
152.612, 115.1999969
152.719, 116
152.826, 118.5999985
152.937, 119.1999969
153.046, 119.6999969
153.156, 119.7999954
153.262, 119.7999954
153.369, 119.9000015
153.479, 119.9000015
153.588, 119.9000015
153.698, 120
153.807, 120
153.916, 120
154.026, 120.0999985
154.132, 120
154.241, 120.0999985
154.348, 120.0999985
154.454, 120.1999969
154.545, 120.1999969
154.654, 120.1999969
154.76, 120.1999969
154.864, 120.1999969
154.976, 120.1999969
155.083, 120.1999969
155.189, 120.2999954
155.296, 120.2999954
155.402, 120.4000015
155.506, 120.2999954
155.615, 120.4000015
155.722, 120.4000015
155.829, 120.4000015
155.938, 120.4000015
156.044, 120.4000015
156.135, 120.4000015
156.245, 120.4000015
156.351, 120.5
156.455, 120.5
156.567, 120.5
156.676, 120.5
156.785, 120.5
156.895, 120.5
157.002, 120.5
157.108, 120.5
157.215, 120.5999985
157.321, 120.5999985
157.43, 120.5999985
157.537, 120.5999985
157.649, 120.5999985
157.758, 120.5999985
157.868, 120.5
157.974, 120.4000015
158.084, 120.5
158.19, 120.0999985
158.3, 120
158.409, 119.7999954
158.518, 119.5999985
158.628, 119.1999969
158.734, 118.2999954
158.841, 116.6999969
158.952, 115.5
159.062, 114.7999954
159.168, 113.7999954
159.278, 113.6999969
159.384, 113.5
159.494, 113.3999939
159.603, 113.1999969
159.712, 113.0999985
159.819, 113
159.91, 112.8999939
160.017, 112.6999969
160.126, 112.6999969
160.217, 112.5999985
160.326, 112.5
160.433, 112.3999939
160.544, 112.1999969
160.656, 112.0999985
160.768, 112
160.878, 111.8999939
160.984, 111.7999954
161.093, 111.7999954
161.201, 111.6999969
161.307, 111.5999985
161.416, 111.5
161.52, 111.3999939
161.626, 111.2999954
161.737, 111.2999954
161.843, 111.0999985
161.949, 111.0999985
162.059, 111.0999985
162.162, 110.8999939
162.272, 110.8999939
162.381, 110.7999954
162.488, 110.7999954
162.597, 110.7999954
162.707, 110.6999969
162.814, 110.6999969
162.922, 110.5999985
163.029, 110.5999985
163.133, 110.5
163.242, 110.5
163.344, 110.5
